CSD refcode,CIF filename
LUPVOJ,lupvoj_P1_charged_H
LURLOB,lurlob_P1_H
LURMAO,lurmao_P1_H
LUXDUE,luxdue_P1_charged_H
LUXFEQ,luxfeq_P1_charged_H
LUYMUP,luymup_P1_H
MACKAE,mackae_P1_charged_H
MAFDII,mafdii_P1_H
MAFZIE,mafzie_P1_H
MALYOP,malyop_P1_charged_H
MAMVED,mamved_P1_H
MAPFIS,mapfis_P1_H
MARDAM,mardam_P1_charged_H
MAWFIC,mawfic_P1_H
MAYXUG,mayxug_P1_H
MAZSUD,mazsud_P1_H
MEFHUC,mefhuc_P1_charged_H
MEQPUW,meqpuw_P1_H
MEQTIO,meqtio_P1_H
MERLAZ,merlaz_P1_H
MERLED,merled_P1_H
MIBMER,mibmer_P1_H
MIFGEP01,mifgep01_P1_H
MIFKUJ,mifkuj_P1_H
MIFLIY,mifliy_P1_H
MIFSUR,mifsur_P1_H
