CSD refcode,CIF filename
KENVOR01,kenvor01_P1_charged
KENVOR02,kenvor02_P1_charged
KENXUZ,kenxuz_P1_charged
KENYAG,kenyag_P1_charged
KENYEK,kenyek_P1_charged
KENYIO,kenyio_P1_charged
KEPFIX,kepfix_P1_charged
KEPFIX01,kepfix01_P1_charged
KEPFIX02,kepfix02_P1_charged
KEPFIX03,kepfix03_P1_charged
KEPFIX04,kepfix04_P1_charged
KEPFIX05,kepfix05_P1_charged
KEPMUQ,kepmuq_P1_charged
KEPMUQ01,kepmuq01_P1_charged
KEPMUQ02,kepmuq02_P1_charged
KEPMUQ03,kepmuq03_P1_charged
KEPMUQ04,kepmuq04_P1_charged
KEPMUQ05,kepmuq05_P1_charged
KEPMUQ06,kepmuq06_P1_charged
KEPMUQ07,kepmuq07_P1_charged
KEPMUQ08,kepmuq08_P1_charged
KEPNAX,kepnax_P1_charged
KEPNAX01,kepnax01_P1_charged
KEPNAX02,kepnax02_P1_charged
